Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,0,69.75737380981445,None,1,23.48887586593628,69.75737380981445,None,93.36659288406372,None,94.37771677970886,94.72816276550293,94.37771677970886,94.72816276550293,93.36659288406372,None,93.36659288406372,None,93.36659288406372,None,-1,-1,1,3,608.9968681335449,583.7171077728271,left,96.45089983940125,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,0,1,1,4,96.98206496238708,None,1,0.9982361793518066,96.98206496238708,None,98.08066582679749,None,99.1016309261322,99.44443082809448,99.1016309261322,99.44443082809448,98.08066582679749,None,98.08066582679749,None,98.08066582679749,None,-1,-1,1,3,161.16571426391602,683.114767074585,right,100.81200695037842,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,0,2,2,3,101.33797192573547,None,1,0.7702732086181641,101.33797192573547,None,102.18857097625732,None,103.22033786773682,103.56082391738892,103.22033786773682,103.56082391738892,102.18857097625732,None,102.18857097625732,None,102.18857097625732,None,-1,-1,1,3,587.1455669403076,614.7866249084473,right,105.29538798332214,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,0,3,3,4,105.80491280555725,None,1,0.7103371620178223,105.80491280555725,None,106.59564280509949,None,107.61481785774231,107.95404386520386,107.61481785774231,107.95404386520386,106.59564280509949,None,106.59564280509949,None,106.59564280509949,None,-1,-1,1,3,503.08942794799805,664.8354530334473,right,109.6487078666687,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,stop,0,0,0,0,0,4,4,2,110.18043899536133,None,1,0.5888299942016602,110.18043899536133,None,110.84971880912781,None,111.85313892364502,112.20740580558777,111.85313892364502,112.20740580558777,110.84971880912781,None,110.84971880912781,None,110.84971880912781,None,500,500,1,3,70.39308547973633,-1.0,-1,115.80749487876892,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,stop,0,0,0,0,0,5,5,2,116.3379909992218,None,1,2.271651029586792,116.3379909992218,None,118.74271178245544,None,119.71867799758911,120.06619787216187,119.71867799758911,120.06619787216187,118.74271178245544,None,118.74271178245544,None,118.74271178245544,None,550,500,1,3,174.40319061279297,-1.0,-1,123.81515789031982,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,go,0,0,0,0,1,0,6,1,124.34542989730835,None,1,0.9223270416259766,124.34542989730835,None,125.38995599746704,None,126.36045694351196,126.72564697265625,126.36045694351196,126.72564697265625,125.38995599746704,None,125.38995599746704,None,125.38995599746704,None,-1,-1,1,3,509.39106941223145,913.5892391204834,left,128.67587876319885,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,stop,0,0,0,0,1,1,7,5,129.19240283966064,None,1,0.826286792755127,129.19240283966064,None,130.10396695137024,None,131.10105776786804,131.45614290237427,131.10105776786804,131.45614290237427,130.10396695137024,None,130.10396695137024,None,130.10396695137024,None,,,0,3,-1.0,-1.0,-1,131.79380893707275,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,go,0,0,0,0,1,2,8,0,132.28662586212158,None,1,2.682934045791626,132.28662586212158,None,135.06124091148376,None,136.07369184494019,136.43615198135376,136.07369184494019,136.43615198135376,135.06124091148376,None,135.06124091148376,None,135.06124091148376,None,-1,-1,1,3,499.814510345459,666.5685176849365,left,138.1361219882965,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,1,3,9,3,138.65437293052673,None,1,0.9845969676971436,138.65437293052673,None,139.75546884536743,None,140.78263998031616,141.13146090507507,140.78263998031616,141.13146090507507,139.75546884536743,None,139.75546884536743,None,139.75546884536743,None,-1,-1,1,3,153.20444107055664,1184.2029094696045,right,142.98062181472778,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,1,4,10,3,143.49338293075562,None,1,0.5729479789733887,143.49338293075562,None,144.1585338115692,None,145.18660497665405,145.53542184829712,145.18660497665405,145.53542184829712,144.1585338115692,None,144.1585338115692,None,144.1585338115692,None,-1,-1,1,3,579.4656276702881,593.0240154266357,right,147.22412991523743,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,go,0,0,0,0,1,5,11,0,147.72381591796875,None,1,0.763477087020874,147.72381591796875,None,148.5679168701172,None,149.58766794204712,149.93777298927307,149.58766794204712,149.93777298927307,148.5679168701172,None,148.5679168701172,None,148.5679168701172,None,-1,-1,1,3,58.367013931274414,766.6411399841309,left,151.28135776519775,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
right,go,0,0,0,0,2,0,12,3,151.78557181358337,None,1,0.885573148727417,151.78557181358337,None,152.7515778541565,None,153.74668288230896,154.10507583618164,153.74668288230896,154.10507583618164,152.7515778541565,None,152.7515778541565,None,152.7515778541565,None,-1,-1,1,3,174.95322227478027,708.7624073028564,right,155.51301884651184,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,go,0,0,0,0,2,1,13,0,156.03323888778687,None,1,0.733773946762085,156.03323888778687,None,156.86909794807434,None,157.86548686027527,158.2280468940735,157.86548686027527,158.2280468940735,156.86909794807434,None,156.86909794807434,None,156.86909794807434,None,-1,-1,1,3,520.6341743469238,660.022497177124,left,159.9257938861847,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,go,0,0,0,0,2,2,14,1,160.4272599220276,None,1,0.8418881893157959,160.4272599220276,None,161.39666080474854,None,162.39552283287048,162.7490417957306,162.39552283287048,162.7490417957306,161.39666080474854,None,161.39666080474854,None,161.39666080474854,None,-1,-1,1,3,479.0349006652832,651.7543792724609,left,164.40796995162964,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
left,stop,0,0,0,0,2,3,15,2,164.9165427684784,None,1,0.6873910427093506,164.9165427684784,None,165.70521092414856,None,166.73047590255737,167.08558678627014,166.73047590255737,167.08558678627014,165.70521092414856,None,165.70521092414856,None,165.70521092414856,None,600,500,0,3,435.7571601867676,611.6905212402344,left,168.6689419746399,None,JPO_pilot,icub,clamp,2021_Dec_17_1550,exp,2021.2.3,59.96102958520668,
