Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,51.76742911338806,None,1,1.2997870445251465,51.76742911338806,None,53.17390012741089,None,None,None,None,None,53.17390012741089,None,53.17390012741089,None,53.17390012741089,None,0,3,-1.0,-1.0,-1,53.36557602882385,None,,,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,0,1,1,5,53.897301197052,None,1,0.4904329776763916,53.897301197052,None,54.50973200798035,None,55.487231969833374,55.84019207954407,55.487231969833374,55.84019207954407,54.50973200798035,None,54.50973200798035,None,54.50973200798035,None,0,3,330.8522701263428,540.3709411621094,right,57.244699001312256,None,500,500,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,0,2,2,5,57.75593900680542,None,1,0.39647793769836426,57.75593900680542,None,58.23779511451721,None,59.23397517204285,59.59388518333435,59.23397517204285,59.59388518333435,58.23779511451721,None,58.23779511451721,None,58.23779511451721,None,0,3,255.42306900024414,514.7924423217773,right,60.882023096084595,None,500,450,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,0,3,3,4,61.38903212547302,None,1,0.3343830108642578,61.38903212547302,None,61.8089439868927,None,62.82613015174866,63.1779510974884,62.82613015174866,63.1779510974884,61.8089439868927,None,61.8089439868927,None,61.8089439868927,None,1,3,279.83760833740234,540.8675670623779,right,64.52541208267212,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,0,4,4,0,65.0285279750824,None,1,0.33725500106811523,65.0285279750824,None,65.48787808418274,None,66.50548911094666,66.86554503440857,66.50548911094666,66.86554503440857,65.48787808418274,None,65.48787808418274,None,65.48787808418274,None,0,3,3000.247001647949,-1.0,-1,70.39481902122498,None,,,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,0,5,5,2,70.89153218269348,None,1,0.7261369228363037,70.89153218269348,None,71.75072908401489,None,72.75518107414246,73.10989809036255,72.75518107414246,73.10989809036255,71.75072908401489,None,71.75072908401489,None,71.75072908401489,None,0,3,150.90608596801758,581.9344520568848,left,74.36522102355957,None,500,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,1,0,6,4,74.8764100074768,None,1,0.5897808074951172,74.8764100074768,None,75.5415050983429,None,76.55134010314941,76.89888000488281,76.55134010314941,76.89888000488281,75.5415050983429,None,75.5415050983429,None,75.5415050983429,None,1,3,296.3554859161377,554.621696472168,right,78.28658509254456,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,1,1,7,4,78.80694699287415,None,1,0.6861658096313477,78.80694699287415,None,79.59993100166321,None,80.62185096740723,80.97811007499695,80.62185096740723,80.97811007499695,79.59993100166321,None,79.59993100166321,None,79.59993100166321,None,1,3,332.0004940032959,730.1280498504639,right,82.56054306030273,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,1,2,8,1,83.0771861076355,None,1,0.5124111175537109,83.0771861076355,None,83.67951607704163,None,84.67624497413635,85.03067207336426,84.67624497413635,85.03067207336426,83.67951607704163,None,83.67951607704163,None,83.67951607704163,None,1,3,574.3272304534912,833.8661193847656,left,86.97418403625488,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,1,3,9,5,87.48127818107605,None,1,0.42691802978515625,87.48127818107605,None,88.0225989818573,None,89.01575803756714,89.36309313774109,89.01575803756714,89.36309313774109,88.0225989818573,None,88.0225989818573,None,88.0225989818573,None,0,3,191.24770164489746,547.1706390380859,right,90.67475414276123,None,450,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
