Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,56.12023615837097,None,1,3.9013519287109375,56.12023615837097,None,60.10681414604187,None,61.13790011405945,61.48818302154541,61.13790011405945,61.48818302154541,60.10681414604187,None,60.10681414604187,None,60.10681414604187,None,-1,-1,1,3,372.4541664123535,564.1210079193115,right,62.92047715187073,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
right,stop,0,0,0,0,0,1,1,5,63.44032907485962,None,1,2.018954038619995,63.44032907485962,None,65.58178520202637,None,66.6062400341034,66.97231101989746,66.6062400341034,66.97231101989746,65.58178520202637,None,65.58178520202637,None,65.58178520202637,None,500,500,0,3,495.73636054992676,663.5348796844482,right,68.62837314605713,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,stop,0,0,0,0,0,2,2,2,69.14635014533997,None,1,2.592067003250122,69.14635014533997,None,71.84918904304504,None,72.85552215576172,73.182049036026,72.85552215576172,73.182049036026,71.84918904304504,None,71.84918904304504,None,71.84918904304504,None,500,450,1,3,515.960693359375,-1.0,-1,77.26687908172607,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
right,stop,0,0,0,0,0,3,3,5,77.76076698303223,None,1,0.639625072479248,77.76076698303223,None,78.4967360496521,None,79.47244000434875,79.81998801231384,79.47244000434875,79.81998801231384,78.4967360496521,None,78.4967360496521,None,78.4967360496521,None,550,450,1,3,427.1705150604248,-1.0,-1,83.81537413597107,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,go,0,0,0,0,0,4,4,0,84.34583616256714,None,1,0.7078940868377686,84.34583616256714,None,85.14255809783936,None,86.14921116828918,86.49889397621155,86.14921116828918,86.49889397621155,85.14255809783936,None,85.14255809783936,None,85.14255809783936,None,-1,-1,1,3,664.9236679077148,955.7468891143799,left,88.65157413482666,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,stop,0,0,0,0,0,5,5,2,89.16988706588745,None,1,1.4602971076965332,89.16988706588745,None,90.75877499580383,None,91.75799798965454,92.1239321231842,91.75799798965454,92.1239321231842,90.75877499580383,None,90.75877499580383,None,90.75877499580383,None,550,500,1,3,316.2846565246582,-1.0,-1,95.96983599662781,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,stop,0,0,0,0,1,0,6,2,96.4995470046997,None,1,0.66507887840271,96.4995470046997,None,97.29667210578918,None,98.27889800071716,98.63356709480286,98.27889800071716,98.63356709480286,97.29667210578918,None,97.29667210578918,None,97.29667210578918,None,600,500,1,3,438.7686252593994,-1.0,-1,102.63780212402344,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
right,stop,0,0,0,0,1,1,7,5,103.16794109344482,None,1,1.6927320957183838,103.16794109344482,None,104.95059013366699,None,105.93201017379761,106.29751801490784,105.93201017379761,106.29751801490784,104.95059013366699,None,104.95059013366699,None,104.95059013366699,None,650,500,1,3,495.2373504638672,-1.0,-1,110.32426810264587,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,go,0,0,0,0,1,2,8,1,110.85501003265381,None,1,4.594719886779785,110.85501003265381,None,115.55293107032776,None,116.53816509246826,116.8898401260376,116.53816509246826,116.8898401260376,115.55293107032776,None,115.55293107032776,None,115.55293107032776,None,-1,-1,1,3,463.53840827941895,953.9825916290283,left,118.83573007583618,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
left,stop,0,0,0,0,1,3,9,2,119.34094500541687,None,1,2.028398036956787,119.34094500541687,None,121.48813819885254,None,122.5111939907074,122.87392711639404,122.5111939907074,122.87392711639404,121.48813819885254,None,121.48813819885254,None,121.48813819885254,None,650,550,1,3,414.0453338623047,-1.0,-1,126.8026831150055,None,alice_pilot,icub,clamp,2021_Dec_17_1408,exp,2021.2.3,60.14097835999381,
