Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,25.71074104309082,None,1,5.728523015975952,25.71074104309082,None,31.558840036392212,None,32.58858299255371,32.94654107093811,32.58858299255371,32.94654107093811,31.558840036392212,None,31.558840036392212,None,31.558840036392212,None,-1,-1,1,3,357.53726959228516,544.975996017456,left,34.37443518638611,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,0,1,1,3,34.87493705749512,None,1,0.4152700901031494,34.87493705749512,None,35.4141800403595,None,36.43222498893738,36.78714299201965,36.43222498893738,36.78714299201965,35.4141800403595,None,35.4141800403595,None,35.4141800403595,None,-1,-1,1,3,262.7387046813965,641.4635181427002,right,38.211503982543945,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,stop,0,0,0,0,0,2,2,5,38.74116396903992,None,1,0.2272019386291504,38.74116396903992,None,39.09608006477356,None,40.124046087265015,40.468670129776,40.124046087265015,40.468670129776,39.09608006477356,None,39.09608006477356,None,39.09608006477356,None,500,500,0,3,482.38682746887207,545.73655128479,right,42.03451204299927,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,0,3,3,3,42.5511519908905,None,1,0.4600670337677002,42.5511519908905,None,43.09171509742737,None,44.09055519104004,44.441930055618286,44.09055519104004,44.441930055618286,43.09171509742737,None,43.09171509742737,None,43.09171509742737,None,-1,-1,1,3,195.27578353881836,541.5003299713135,right,45.74255418777466,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,0,4,4,4,46.26266598701477,None,1,0.4244959354400635,46.26266598701477,None,46.80487608909607,None,47.82515001296997,48.17407512664795,47.82515001296997,48.17407512664795,46.80487608909607,None,46.80487608909607,None,46.80487608909607,None,,,0,3,3000.2264976501465,-1.0,-1,51.70933413505554,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,stop,0,0,0,0,0,5,5,2,52.22781014442444,None,1,0.8386030197143555,52.22781014442444,None,53.14951300621033,None,54.12168002128601,54.48053503036499,54.12168002128601,54.48053503036499,53.14951300621033,None,53.14951300621033,None,53.14951300621033,None,500,450,0,3,733.1805229187012,559.4494342803955,left,56.34179401397705,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,go,0,0,0,0,1,0,6,1,56.857866048812866,None,1,0.7809269428253174,56.857866048812866,None,57.76646614074707,None,58.777132987976074,59.133116006851196,58.777132987976074,59.133116006851196,57.76646614074707,None,57.76646614074707,None,57.76646614074707,None,-1,-1,1,3,257.83371925354004,736.4482879638672,left,60.659600019454956,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,stop,0,0,0,0,1,1,7,2,61.16812014579773,None,1,0.5090959072113037,61.16812014579773,None,61.77253007888794,None,62.783416986465454,63.14254713058472,62.783416986465454,63.14254713058472,61.77253007888794,None,61.77253007888794,None,61.77253007888794,None,450,450,1,3,460.0346088409424,-1.0,-1,67.13614201545715,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,stop,0,0,0,0,1,2,8,5,67.66993498802185,None,1,0.9664289951324463,67.66993498802185,None,68.77265310287476,None,69.74389100074768,70.10054397583008,69.74389100074768,70.10054397583008,68.77265310287476,None,68.77265310287476,None,68.77265310287476,None,500,450,1,3,269.65951919555664,-1.0,-1,73.93787097930908,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,go,0,0,0,0,1,3,9,0,74.43683815002441,None,1,0.6834361553192139,74.43683815002441,None,75.23418498039246,None,76.21412515640259,76.57047009468079,76.21412515640259,76.57047009468079,75.23418498039246,None,75.23418498039246,None,75.23418498039246,None,,,0,3,-1.0,-1.0,-1,76.92831015586853,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,1,4,10,3,77.42118811607361,None,1,1.615920066833496,77.42118811607361,None,79.12258410453796,None,80.14367413520813,80.49424695968628,80.14367413520813,80.49424695968628,79.12258410453796,None,79.12258410453796,None,79.12258410453796,None,-1,-1,1,3,358.52980613708496,673.3860969543457,right,82.06371307373047,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,1,5,11,4,82.56298112869263,None,1,0.606895923614502,82.56298112869263,None,83.28891015052795,None,84.30737400054932,84.65865802764893,84.30737400054932,84.65865802764893,83.28891015052795,None,83.28891015052795,None,83.28891015052795,None,-1,-1,1,3,318.7119960784912,723.5515117645264,right,86.23230600357056,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,2,0,12,3,86.7478621006012,None,1,0.2831230163574219,86.7478621006012,None,87.10625004768372,None,88.11781001091003,88.46795010566711,88.11781001091003,88.46795010566711,87.10625004768372,None,87.10625004768372,None,87.10625004768372,None,-1,-1,1,3,559.3361854553223,731.7342758178711,right,90.28437805175781,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,stop,0,0,0,0,2,1,13,2,90.80430817604065,None,1,0.5374059677124023,90.80430817604065,None,91.47091817855835,None,92.47213912010193,92.7934730052948,92.47213912010193,92.7934730052948,91.47091817855835,None,91.47091817855835,None,91.47091817855835,None,500,500,0,3,501.10602378845215,661.6349220275879,left,94.55048608779907,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,2,2,14,3,95.06948614120483,None,1,0.23609399795532227,95.06948614120483,None,95.40787315368652,None,96.41556906700134,96.77838802337646,96.41556906700134,96.77838802337646,95.40787315368652,None,95.40787315368652,None,95.40787315368652,None,-1,-1,1,3,456.47525787353516,782.6294898986816,right,98.55468201637268,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,stop,0,0,0,0,2,3,15,5,99.05462503433228,None,1,0.6373391151428223,99.05462503433228,None,99.78228902816772,None,100.78614115715027,101.13408613204956,100.78614115715027,101.13408613204956,99.78228902816772,None,99.78228902816772,None,99.78228902816772,None,450,500,0,3,287.72735595703125,643.6135768890381,right,102.60058617591858,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
right,go,0,0,0,0,2,4,16,3,103.11647605895996,None,1,0.16985321044921875,103.11647605895996,None,103.41043019294739,None,104.40009617805481,104.7449381351471,104.40009617805481,104.7449381351471,103.41043019294739,None,103.41043019294739,None,103.41043019294739,None,-1,-1,1,3,278.1846523284912,673.8972663879395,right,106.27285504341125,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,go,0,0,0,0,2,5,17,0,106.8037440776825,None,1,0.37587404251098633,106.8037440776825,None,107.28615307807922,None,108.27473306655884,108.62391805648804,108.27473306655884,108.62391805648804,107.28615307807922,None,107.28615307807922,None,107.28615307807922,None,-1,-1,1,3,485.19158363342285,577.9142379760742,left,110.23744606971741,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
left,go,0,0,0,0,3,0,18,1,110.75634002685547,None,1,0.4022231101989746,110.75634002685547,None,111.28110218048096,None,112.2989010810852,112.65335702896118,112.2989010810852,112.65335702896118,111.28110218048096,None,111.28110218048096,None,111.28110218048096,None,-1,-1,1,3,208.8315486907959,449.324369430542,left,113.84037613868713,None,kyveli_pilot,icub,clamp,2021_Dec_17_1153,exp,2021.2.3,59.99988555930031,
