Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,0,25.367749214172363,None,1,4.10798978805542,25.367749214172363,None,29.556226015090942,None,30.575675010681152,30.934406995773315,30.575675010681152,30.934406995773315,29.556226015090942,None,29.556226015090942,None,29.556226015090942,None,-1,-1,1,True,347.3491668701172,352.13565826416016,left,32.13350200653076,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
left,go,0,0,0,0,0,1,1,1,32.648266077041626,None,1,1.5842649936676025,32.648266077041626,None,34.30806112289429,None,35.31306719779968,35.664133071899414,35.31306719779968,35.664133071899414,34.30806112289429,None,34.30806112289429,None,34.30806112289429,None,-1,-1,1,True,352.54716873168945,493.8960075378418,left,37.02526021003723,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
right,stop,0,0,0,0,0,2,2,5,37.54141116142273,None,1,1.594369888305664,37.54141116142273,None,39.25935101509094,None,40.266563177108765,40.608686208724976,40.266563177108765,40.608686208724976,39.25935101509094,None,39.25935101509094,None,39.25935101509094,None,500,500,0,True,340.93236923217773,512.0608806610107,right,42.00830316543579,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
right,stop,0,0,0,0,0,3,3,5,42.50385403633118,None,1,46.31972599029541,42.50385403633118,None,88.91856217384338,None,89.92162609100342,90.27063918113708,89.92162609100342,90.27063918113708,88.91856217384338,None,88.91856217384338,None,88.91856217384338,None,500,450,0,True,309.65352058410645,429.2573928833008,right,91.54080200195312,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
right,go,0,0,0,0,0,4,4,4,92.04509711265564,None,1,9.382342100143433,92.04509711265564,None,101.54776310920715,None,102.54720616340637,102.90738201141357,102.54720616340637,102.90738201141357,101.54776310920715,None,101.54776310920715,None,101.54776310920715,None,-1,-1,1,True,765.8464908599854,643.22829246521,right,104.83632397651672,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
left,stop,0,0,0,0,0,5,5,2,105.33368420600891,None,1,1.205664873123169,105.33368420600891,None,106.6198251247406,None,107.62433218955994,107.98738408088684,107.62433218955994,107.98738408088684,106.6198251247406,None,106.6198251247406,None,106.6198251247406,None,500,400,0,True,442.34681129455566,538.8820171356201,left,109.5000250339508,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
left,go,0,0,0,0,1,0,6,0,110.01043701171875,None,1,1.5015459060668945,110.01043701171875,None,111.60266017913818,None,112.62915515899658,112.99032306671143,112.62915515899658,112.99032306671143,111.60266017913818,None,111.60266017913818,None,111.60266017913818,None,-1,-1,1,True,377.5975704193115,622.469425201416,left,114.48380208015442,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
left,stop,0,0,0,0,1,1,7,2,114.98523020744324,None,1,2.934256076812744,114.98523020744324,None,118.00508499145508,None,119.01990509033203,119.37260007858276,119.01990509033203,119.37260007858276,118.00508499145508,None,118.00508499145508,None,118.00508499145508,None,450,400,0,True,200.08134841918945,436.7532730102539,left,120.5460090637207,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
right,go,0,0,0,0,1,2,8,3,121.0652220249176,None,1,1.903122901916504,121.0652220249176,None,123.0884301662445,None,124.11614799499512,124.46400904655457,124.11614799499512,124.46400904655457,123.0884301662445,None,123.0884301662445,None,123.0884301662445,None,-1,-1,1,True,398.0545997619629,345.4902172088623,right,125.74057912826538,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
left,go,0,0,0,0,1,3,9,0,126.2452700138092,None,1,1.07912278175354,126.2452700138092,None,127.40495610237122,None,128.40084314346313,128.75526309013367,128.40084314346313,128.75526309013367,127.40495610237122,None,127.40495610237122,None,127.40495610237122,None,-1,-1,1,True,408.18309783935547,368.23368072509766,left,130.06604409217834,None,2,icub,clamp,2021_Dec_21_0944,exp,2021.2.3,59.95280166837954,
