Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,3,67.70664405822754,None,1,3.052780866622925,67.70664405822754,None,70.83998107910156,None,71.84393811225891,72.19559717178345,71.84393811225891,72.19559717178345,70.83998107910156,None,70.83998107910156,None,70.83998107910156,None,-1,-1,1,True,477.48517990112305,782.4816703796387,right,73.97536206245422,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,0,1,1,4,74.48508214950562,None,1,0.6803500652313232,74.48508214950562,None,75.27284097671509,None,76.30174016952515,76.65550303459167,76.30174016952515,76.65550303459167,75.27284097671509,None,75.27284097671509,None,75.27284097671509,None,-1,-1,1,True,344.82622146606445,561.0456466674805,right,78.09107708930969,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,0,2,2,2,78.5934841632843,None,1,0.6221380233764648,78.5934841632843,None,79.32248616218567,None,80.35471606254578,80.7073061466217,80.35471606254578,80.7073061466217,79.32248616218567,None,79.32248616218567,None,79.32248616218567,None,500,500,0,True,333.48798751831055,544.1937446594238,left,82.11820697784424,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,0,3,3,3,82.61231398582458,None,1,0.19287991523742676,82.61231398582458,None,82.90651798248291,None,83.9247419834137,84.29339003562927,83.9247419834137,84.29339003562927,82.90651798248291,None,82.90651798248291,None,82.90651798248291,None,-1,-1,1,True,309.44371223449707,512.7854347229004,right,85.59903812408447,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,0,4,4,2,86.11633014678955,None,1,0.42420101165771484,86.11633014678955,None,86.65670800209045,None,87.68785905838013,88.04327416419983,87.68785905838013,88.04327416419983,86.65670800209045,None,86.65670800209045,None,86.65670800209045,None,,,0,False,-1.0,-1.0,-1,88.51422715187073,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,0,5,5,4,89.00228810310364,None,1,0.8771028518676758,89.00228810310364,None,89.97047305107117,None,90.99416303634644,91.34012508392334,90.99416303634644,91.34012508392334,89.97047305107117,None,89.97047305107117,None,89.97047305107117,None,-1,-1,1,True,365.1885986328125,525.8111953735352,right,92.76300811767578,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,1,0,6,3,93.28302097320557,None,1,0.46610498428344727,93.28302097320557,None,93.8245530128479,None,94.84825801849365,95.20787215232849,94.84825801849365,95.20787215232849,93.8245530128479,None,93.8245530128479,None,93.8245530128479,None,-1,-1,1,True,332.8366279602051,626.6117095947266,right,96.69163298606873,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,1,1,7,2,97.1981589794159,None,1,0.368297815322876,97.1981589794159,None,97.6819519996643,None,98.6920440196991,99.05794715881348,98.6920440196991,99.05794715881348,97.6819519996643,None,97.6819519996643,None,97.6819519996643,None,450,500,0,True,300.7826805114746,474.135160446167,left,100.37013816833496,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,stop,0,0,0,0,1,2,8,5,100.88932299613953,None,1,0.17578506469726562,100.88932299613953,None,101.18460512161255,None,102.18607997894287,102.54392910003662,102.18607997894287,102.54392910003662,101.18460512161255,None,101.18460512161255,None,101.18460512161255,None,400,500,0,True,22.837400436401367,701.8125057220459,right,103.79285001754761,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,1,3,9,2,104.32717299461365,None,1,0.6205158233642578,104.32717299461365,None,105.03331303596497,None,106.06018805503845,106.40163612365723,106.06018805503845,106.40163612365723,105.03331303596497,None,105.03331303596497,None,105.03331303596497,None,400,450,0,True,469.0511226654053,563.7786388397217,left,107.94764304161072,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,1,4,10,2,108.46715807914734,None,1,0.035826921463012695,108.46715807914734,None,108.57289505004883,None,109.58751201629639,109.94336199760437,109.58751201629639,109.94336199760437,108.57289505004883,None,108.57289505004883,None,108.57289505004883,None,350,450,1,True,381.81281089782715,-1.0,-1,113.8649389743805,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,stop,0,0,0,0,1,5,11,5,114.36184811592102,None,1,1.5170519351959229,114.36184811592102,None,115.97307300567627,None,116.97879910469055,117.33931398391724,116.97879910469055,117.33931398391724,115.97307300567627,None,115.97307300567627,None,115.97307300567627,None,400,450,0,True,312.62755393981934,514.458417892456,right,118.70185399055481,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,2,0,12,4,119.1963529586792,None,1,0.18467211723327637,119.1963529586792,None,119.49155497550964,None,120.50275206565857,120.82733416557312,120.50275206565857,120.82733416557312,119.49155497550964,None,119.49155497550964,None,119.49155497550964,None,-1,-1,1,True,458.38165283203125,480.07702827453613,right,122.32287216186523,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,go,0,0,0,0,2,1,13,1,122.84629106521606,None,1,0.46499180793762207,122.84629106521606,None,123.39154410362244,None,124.42402815818787,124.77761697769165,124.42402815818787,124.77761697769165,123.39154410362244,None,123.39154410362244,None,123.39154410362244,None,-1,-1,1,True,358.6702346801758,566.9827461242676,left,126.18750095367432,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,stop,0,0,0,0,2,2,14,5,126.69812107086182,None,1,0.3283529281616211,126.69812107086182,None,127.1172821521759,None,128.1202211380005,128.46917915344238,128.1202211380005,128.46917915344238,127.1172821521759,None,127.1172821521759,None,127.1172821521759,None,400,400,0,True,393.5370445251465,478.2423973083496,right,129.87655997276306,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,2,3,15,2,130.3867690563202,None,1,0.10237693786621094,130.3867690563202,None,130.6173141002655,None,131.6382269859314,131.98589611053467,131.6382269859314,131.98589611053467,130.6173141002655,None,130.6173141002655,None,130.6173141002655,None,400,350,0,True,383.3639621734619,457.49664306640625,left,133.35772395133972,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,go,0,0,0,0,2,4,16,0,133.86493396759033,None,1,0.04216289520263672,133.86493396759033,None,134.03482103347778,None,135.04978895187378,135.40533995628357,135.04978895187378,135.40533995628357,134.03482103347778,None,134.03482103347778,None,134.03482103347778,None,-1,-1,1,True,397.74060249328613,479.9518585205078,left,136.81985712051392,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,go,0,0,0,0,2,5,17,0,137.32315111160278,None,1,0.2898440361022949,137.32315111160278,None,137.74095702171326,None,138.76339507102966,139.10886096954346,138.76339507102966,139.10886096954346,137.74095702171326,None,137.74095702171326,None,137.74095702171326,None,-1,-1,1,True,377.72059440612793,578.6080360412598,left,140.5861301422119,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,stop,0,0,0,0,3,0,18,2,141.09956312179565,None,1,0.22556209564208984,141.09956312179565,None,141.4535050392151,None,142.4644410610199,142.8173999786377,142.4644410610199,142.8173999786377,141.4535050392151,None,141.4535050392151,None,141.4535050392151,None,350,350,0,True,362.0476722717285,531.3701629638672,left,144.2277331352234,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,3,1,19,4,144.74184203147888,None,1,1.7838599681854248,144.74184203147888,None,146.6506791114807,None,147.6260850429535,147.96784114837646,147.6260850429535,147.96784114837646,146.6506791114807,None,146.6506791114807,None,146.6506791114807,None,-1,-1,1,True,314.7604465484619,470.508337020874,right,149.3058581352234,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,3,2,20,3,149.82417702674866,None,1,0.3198699951171875,149.82417702674866,None,150.2456340789795,None,151.24854803085327,151.60684514045715,151.24854803085327,151.60684514045715,150.2456340789795,None,150.2456340789795,None,150.2456340789795,None,-1,-1,1,True,386.6455554962158,570.4076290130615,right,153.09522700309753,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
left,go,0,0,0,0,3,3,21,1,153.6018750667572,None,1,0.19938111305236816,153.6018750667572,None,153.90175199508667,None,154.9247579574585,155.29458498954773,154.9247579574585,155.29458498954773,153.90175199508667,None,153.90175199508667,None,153.90175199508667,None,-1,-1,1,True,346.1873531341553,502.856969833374,left,156.63369011878967,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,stop,0,0,0,0,3,4,22,5,157.14808011054993,None,1,0.14877605438232422,157.14808011054993,None,157.38250708580017,None,158.38428115844727,158.742112159729,158.38428115844727,158.742112159729,157.38250708580017,None,157.38250708580017,None,157.38250708580017,None,300,350,0,True,328.3417224884033,456.4964771270752,right,160.0546841621399,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
right,go,0,0,0,0,3,5,23,3,160.566468000412,None,1,1.1702239513397217,160.566468000412,None,161.83775806427002,None,162.81828808784485,163.18488717079163,162.81828808784485,163.18488717079163,161.83775806427002,None,161.83775806427002,None,161.83775806427002,None,-1,-1,1,True,330.4443359375,425.13132095336914,right,164.4725170135498,None,pp_05,icub,clamp,2021_Dec_21_1422,exp,2021.2.3,60.025817531305904,
