Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,3,35.681400775909424,None,1,12.928406953811646,35.681400775909424,None,48.72291088104248,None,49.717551946640015,50.06532096862793,49.717551946640015,50.06532096862793,48.72291088104248,None,48.72291088104248,None,48.72291088104248,None,-1,-1,1,True,346.38190269470215,612.617015838623,right,51.58482384681702,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,stop,0,0,0,0,0,1,1,2,52.11848187446594,None,1,0.6702661514282227,52.11848187446594,None,52.908880949020386,None,53.929521799087524,54.291215896606445,53.929521799087524,54.291215896606445,52.908880949020386,None,52.908880949020386,None,52.908880949020386,None,500,500,0,True,374.3569850921631,557.8248500823975,left,55.75649690628052,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,stop,0,0,0,0,0,2,2,2,56.287187814712524,None,1,0.8294708728790283,56.287187814712524,None,57.197075843811035,None,58.197035789489746,58.54637694358826,58.197035789489746,58.54637694358826,57.197075843811035,None,57.197075843811035,None,57.197075843811035,None,450,500,1,True,240.93270301818848,-1.0,-1,62.32064485549927,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,0,3,3,1,62.812116861343384,None,1,0.591088056564331,62.812116861343384,None,63.48383378982544,None,64.45723700523376,64.81494379043579,64.45723700523376,64.81494379043579,63.48383378982544,None,63.48383378982544,None,63.48383378982544,None,-1,-1,1,True,274.13201332092285,766.0493850708008,left,66.41925096511841,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,0,4,4,0,66.93418884277344,None,1,0.7677829265594482,66.93418884277344,None,67.7826919555664,None,68.77011394500732,69.13044500350952,68.77011394500732,69.13044500350952,67.7826919555664,None,67.7826919555664,None,67.7826919555664,None,-1,-1,1,True,549.0138530731201,717.228889465332,left,70.91310286521912,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,0,5,5,4,71.4184718132019,None,1,0.9622159004211426,71.4184718132019,None,72.51352596282959,None,73.51918697357178,73.86203598976135,73.51918697357178,73.86203598976135,72.51352596282959,None,72.51352596282959,None,72.51352596282959,None,-1,-1,1,True,254.87494468688965,612.8191947937012,right,75.2908239364624,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,1,0,6,1,75.82329082489014,None,1,0.47016382217407227,75.82329082489014,None,76.42199683189392,None,77.42783784866333,77.7937159538269,77.42783784866333,77.7937159538269,76.42199683189392,None,76.42199683189392,None,76.42199683189392,None,-1,-1,1,True,366.9419288635254,633.948802947998,left,79.32447385787964,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,1,1,7,3,79.83257579803467,None,1,0.7130191326141357,79.83257579803467,None,80.62099289894104,None,81.65726399421692,82.01731395721436,81.65726399421692,82.01731395721436,80.62099289894104,None,80.62099289894104,None,80.62099289894104,None,-1,-1,1,True,404.6165943145752,677.5455474853516,right,83.5801899433136,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,1,2,8,3,84.08264493942261,None,1,0.8781158924102783,84.08264493942261,None,85.08783888816833,None,86.10332298278809,86.46037888526917,86.10332298278809,86.46037888526917,85.08783888816833,None,85.08783888816833,None,85.08783888816833,None,-1,-1,1,True,228.5473346710205,744.2519664764404,right,87.95825695991516,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,1,3,9,4,88.47740888595581,None,1,0.6292579174041748,88.47740888595581,None,89.20698285102844,None,90.23369288444519,90.58602690696716,90.23369288444519,90.58602690696716,89.20698285102844,None,89.20698285102844,None,89.20698285102844,None,-1,-1,1,True,291.1972999572754,565.3054714202881,right,91.9681658744812,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
