Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,34.759989976882935,None,1,16.909736156463623,34.759989976882935,None,51.77452111244202,None,None,None,None,None,51.77452111244202,None,51.77452111244202,None,51.77452111244202,None,0,False,-1.0,-1.0,-1,52.863365173339844,None,,,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,0,1,1,1,53.37422513961792,None,1,3.9422388076782227,53.37422513961792,None,57.39723515510559,None,58.404869079589844,58.751384973526,58.404869079589844,58.751384973526,57.39723515510559,None,57.39723515510559,None,57.39723515510559,None,1,True,593.7421321868896,674.1256713867188,left,60.543697118759155,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,0,2,2,3,61.039775133132935,None,1,0.938899040222168,61.039775133132935,None,62.079604148864746,None,63.080716133117676,63.43804717063904,63.080716133117676,63.43804717063904,62.079604148864746,None,62.079604148864746,None,62.079604148864746,None,1,True,533.560037612915,792.3417091369629,right,65.2896511554718,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,0,3,3,4,65.81008005142212,None,1,0.7760028839111328,65.81008005142212,None,66.7185411453247,None,67.74032497406006,68.08745217323303,67.74032497406006,68.08745217323303,66.7185411453247,None,66.7185411453247,None,66.7185411453247,None,1,True,413.7094020843506,587.6400470733643,right,69.60946702957153,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,0,4,4,1,70.14396500587463,None,1,0.5077850818634033,70.14396500587463,None,70.74662208557129,None,71.74545097351074,72.09062314033508,71.74545097351074,72.09062314033508,70.74662208557129,None,70.74662208557129,None,70.74662208557129,None,1,True,348.09327125549316,502.9020309448242,left,73.47367000579834,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,0,5,5,1,73.99008107185364,None,1,0.43244194984436035,73.99008107185364,None,74.50602197647095,None,75.50976896286011,75.87799715995789,75.50976896286011,75.87799715995789,74.50602197647095,None,74.50602197647095,None,74.50602197647095,None,1,True,391.9870853424072,540.0111675262451,left,77.338613986969,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,1,0,6,3,77.85666513442993,None,1,0.4843180179595947,77.85666513442993,None,78.46246218681335,None,79.49580717086792,79.84084916114807,79.49580717086792,79.84084916114807,78.46246218681335,None,78.46246218681335,None,78.46246218681335,None,1,True,278.66458892822266,538.8960838317871,right,81.18015217781067,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,1,1,7,1,81.69610500335693,None,1,0.4649658203125,81.69610500335693,None,82.28833603858948,None,83.28295016288757,83.63131713867188,83.28295016288757,83.63131713867188,82.28833603858948,None,82.28833603858948,None,82.28833603858948,None,1,True,301.6030788421631,510.68902015686035,left,84.97441411018372,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,1,2,8,4,85.48932719230652,None,1,0.42362213134765625,85.48932719230652,None,86.02837419509888,None,87.05097699165344,87.42146110534668,87.05097699165344,87.42146110534668,86.02837419509888,None,86.02837419509888,None,86.02837419509888,None,1,True,293.31254959106445,525.9456634521484,right,88.72845602035522,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,1,3,9,4,89.23991513252258,None,1,0.21187710762023926,89.23991513252258,None,89.53710603713989,None,90.54429912567139,90.88997101783752,90.54429912567139,90.88997101783752,89.53710603713989,None,89.53710603713989,None,89.53710603713989,None,1,True,331.50529861450195,528.465986251831,right,92.29638814926147,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,1,4,10,5,92.81645011901855,None,1,0.3971219062805176,92.81645011901855,None,93.29907417297363,None,94.30582118034363,94.67624711990356,94.30582118034363,94.67624711990356,93.29907417297363,None,93.29907417297363,None,93.29907417297363,None,0,True,256.4103603363037,550.8973598480225,right,96.0142171382904,None,500,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,1,5,11,2,96.51723408699036,None,1,1.1154320240020752,96.51723408699036,None,97.73910403251648,None,98.74593305587769,99.10488700866699,98.74593305587769,99.10488700866699,97.73910403251648,None,97.73910403251648,None,97.73910403251648,None,0,True,164.72506523132324,562.0970726013184,left,100.3582410812378,None,500,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,2,0,12,5,100.85913705825806,None,1,0.6446030139923096,100.85913705825806,None,101.5843141078949,None,102.59264898300171,102.95321106910706,102.59264898300171,102.95321106910706,101.5843141078949,None,101.5843141078949,None,101.5843141078949,None,0,True,353.9118766784668,540.6074523925781,right,104.38023209571838,None,450,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,2,1,13,2,104.90121817588806,None,1,0.6429500579833984,104.90121817588806,None,105.62956809997559,None,106.63525915145874,106.99308919906616,106.63525915145874,106.99308919906616,105.62956809997559,None,105.62956809997559,None,105.62956809997559,None,1,True,323.23646545410156,-1.0,-1,110.85325813293457,None,450,400,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,2,2,14,4,111.34611105918884,None,1,0.6415600776672363,111.34611105918884,None,112.08129596710205,None,113.06061816215515,113.42629098892212,113.06061816215515,113.42629098892212,112.08129596710205,None,112.08129596710205,None,112.08129596710205,None,1,True,335.7505798339844,835.299015045166,right,115.1292941570282,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,2,3,15,0,115.63697218894958,None,1,0.634984016418457,115.63697218894958,None,116.36253714561462,None,117.35655808448792,117.70153713226318,117.35655808448792,117.70153713226318,116.36253714561462,None,116.36253714561462,None,116.36253714561462,None,1,True,253.98683547973633,550.6792068481445,left,119.06417417526245,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,2,4,16,0,119.56993699073792,None,1,0.6547400951385498,119.56993699073792,None,120.35743808746338,None,121.35792899131775,121.72474002838135,121.35792899131775,121.72474002838135,120.35743808746338,None,120.35743808746338,None,120.35743808746338,None,1,True,398.29182624816895,763.5812759399414,left,123.41772699356079,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,2,5,17,5,123.95383715629578,None,1,0.6171000003814697,123.95383715629578,None,124.67925810813904,None,125.68155217170715,126.0333821773529,125.68155217170715,126.0333821773529,124.67925810813904,None,124.67925810813904,None,124.67925810813904,None,1,True,309.7341060638428,-1.0,-1,129.87294101715088,None,500,400,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,3,0,18,0,130.40281414985657,None,1,0.5874440670013428,130.40281414985657,None,131.07775497436523,None,132.0592269897461,132.4187171459198,132.0592269897461,132.4187171459198,131.07775497436523,None,131.07775497436523,None,131.07775497436523,None,1,True,53.48038673400879,855.9005260467529,left,133.8538041114807,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,3,1,19,2,134.364972114563,None,1,0.6126189231872559,134.364972114563,None,135.08844304084778,None,136.11425399780273,136.48195219039917,136.11425399780273,136.48195219039917,135.08844304084778,None,135.08844304084778,None,135.08844304084778,None,0,True,302.11472511291504,569.2055225372314,left,137.8450620174408,None,500,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,3,2,20,2,138.37327599525452,None,1,1.0462238788604736,138.37327599525452,None,139.5295910835266,None,140.5242841243744,140.88938808441162,140.5242841243744,140.88938808441162,139.5295910835266,None,139.5295910835266,None,139.5295910835266,None,1,True,320.2781677246094,-1.0,-1,144.74797296524048,None,450,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,3,3,21,4,145.2408561706543,None,1,0.5713820457458496,145.2408561706543,None,145.91360712051392,None,146.88754105567932,147.24867916107178,146.88754105567932,147.24867916107178,145.91360712051392,None,145.91360712051392,None,145.91360712051392,None,1,True,470.6273078918457,746.4351654052734,right,149.02615213394165,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,3,4,22,1,149.54721212387085,None,1,0.7433209419250488,149.54721212387085,None,150.3968620300293,None,151.40825819969177,151.77052903175354,151.40825819969177,151.77052903175354,150.3968620300293,None,150.3968620300293,None,150.3968620300293,None,1,True,166.90540313720703,609.9226474761963,left,153.07796001434326,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,3,5,23,4,153.59729719161987,None,1,0.7575750350952148,153.59729719161987,None,154.44630312919617,None,155.45122909545898,155.7966160774231,155.45122909545898,155.7966160774231,154.44630312919617,None,154.44630312919617,None,154.44630312919617,None,1,True,272.1226215362549,733.4449291229248,right,157.32192707061768,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,4,0,24,4,157.83434200286865,None,1,0.8693320751190186,157.83434200286865,None,158.809326171875,None,159.8389060497284,160.18555307388306,159.8389060497284,160.18555307388306,158.809326171875,None,158.809326171875,None,158.809326171875,None,1,True,231.90665245056152,567.2042369842529,right,161.49514198303223,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,4,1,25,5,162.02139711380005,None,1,0.8980669975280762,162.02139711380005,None,163.052875995636,None,164.05979704856873,164.41719818115234,164.05979704856873,164.41719818115234,163.052875995636,None,163.052875995636,None,163.052875995636,None,1,True,2773.345470428467,-1.0,-1,170.72389316558838,None,500,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,4,2,26,3,171.2533311843872,None,1,0.8147289752960205,171.2533311843872,None,172.17370104789734,None,173.15446305274963,173.5089361667633,173.15446305274963,173.5089361667633,172.17370104789734,None,172.17370104789734,None,172.17370104789734,None,1,True,337.70179748535156,693.6142444610596,right,175.07198119163513,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,4,3,27,0,175.58569812774658,None,1,0.714911937713623,175.58569812774658,None,176.43311405181885,None,177.45491099357605,177.80369901657104,177.45491099357605,177.80369901657104,176.43311405181885,None,176.43311405181885,None,176.43311405181885,None,1,True,292.8891181945801,515.7244205474854,left,179.14069819450378,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,4,4,28,4,179.6584870815277,None,1,0.6139500141143799,179.6584870815277,None,180.40064215660095,None,181.4237401485443,181.78473210334778,181.4237401485443,181.78473210334778,180.40064215660095,None,180.40064215660095,None,180.40064215660095,None,1,True,309.1154098510742,614.7263050079346,right,183.19780611991882,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,4,5,29,1,183.72581315040588,None,1,0.6156938076019287,183.72581315040588,None,184.44026398658752,None,185.4395899772644,185.7679979801178,185.4395899772644,185.7679979801178,184.44026398658752,None,184.44026398658752,None,184.44026398658752,None,1,True,296.16236686706543,568.2919025421143,left,187.20278811454773,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,5,0,30,2,187.7185571193695,None,1,0.5608558654785156,187.7185571193695,None,188.38583302497864,None,189.37705898284912,189.71644711494446,189.37705898284912,189.71644711494446,188.38583302497864,None,188.38583302497864,None,188.38583302497864,None,0,True,339.6000862121582,546.5915203094482,left,191.17722916603088,None,500,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,5,1,31,1,191.6831090450287,None,1,0.949052095413208,191.6831090450287,None,192.7179820537567,None,193.75051617622375,194.10530519485474,193.75051617622375,194.10530519485474,192.7179820537567,None,192.7179820537567,None,192.7179820537567,None,1,True,398.7274169921875,700.2241611480713,left,195.72525310516357,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,5,2,32,5,196.22499799728394,None,1,0.6674420833587646,196.22499799728394,None,197.01028203964233,None,198.02301812171936,198.35743808746338,198.02301812171936,198.35743808746338,197.01028203964233,None,197.01028203964233,None,197.01028203964233,None,0,True,253.97157669067383,615.5140399932861,right,199.76420402526855,None,450,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,5,3,33,2,200.25710916519165,None,1,0.8692150115966797,200.25710916519165,None,201.22030115127563,None,202.22924613952637,202.58254313468933,202.22924613952637,202.58254313468933,201.22030115127563,None,201.22030115127563,None,201.22030115127563,None,1,True,308.56919288635254,-1.0,-1,206.4327051639557,None,450,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,5,4,34,4,206.92550897598267,None,1,0.7035589218139648,206.92550897598267,None,207.72174906730652,None,208.6981430053711,209.0519151687622,208.6981430053711,209.0519151687622,207.72174906730652,None,207.72174906730652,None,207.72174906730652,None,1,True,349.7612476348877,753.5445690155029,right,210.68866610527039,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,5,5,35,5,211.19360399246216,None,1,0.6638360023498535,211.19360399246216,None,211.9810299873352,None,213.0015630722046,213.3682940006256,213.0015630722046,213.3682940006256,211.9810299873352,None,211.9810299873352,None,211.9810299873352,None,1,True,305.1438331604004,-1.0,-1,217.16233897209167,None,500,450,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,6,0,36,2,217.69456696510315,None,1,1.0106191635131836,217.69456696510315,None,218.800213098526,None,219.80121397972107,220.15482711791992,219.80121397972107,220.15482711791992,218.800213098526,None,218.800213098526,None,218.800213098526,None,1,True,525.6478786468506,-1.0,-1,224.2117919921875,None,500,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,6,1,37,5,224.7422490119934,None,1,0.9256420135498047,224.7422490119934,None,225.78354501724243,None,226.7619559764862,227.12663507461548,226.7619559764862,227.12663507461548,225.78354501724243,None,225.78354501724243,None,225.78354501724243,None,1,True,636.4455223083496,-1.0,-1,231.29215908050537,None,550,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,6,2,38,2,231.82347702980042,None,1,0.6233820915222168,231.82347702980042,None,232.55922412872314,None,233.54025411605835,233.87106919288635,233.54025411605835,233.87106919288635,232.55922412872314,None,232.55922412872314,None,232.55922412872314,None,0,True,386.9442939758301,745.6364631652832,left,235.5785310268402,None,550,550,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,6,3,39,2,236.09565114974976,None,1,1.0327458381652832,236.09565114974976,None,237.21373915672302,None,238.20893001556396,238.56509709358215,238.20893001556396,238.56509709358215,237.21373915672302,None,237.21373915672302,None,237.21373915672302,None,1,True,582.268238067627,-1.0,-1,242.6837739944458,None,500,550,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,6,4,40,0,243.17763805389404,None,1,0.1111900806427002,243.17763805389404,None,243.41789197921753,None,244.39498114585876,244.75173807144165,244.39498114585876,244.75173807144165,243.41789197921753,None,243.41789197921753,None,243.41789197921753,None,1,True,449.88346099853516,1124.060869216919,left,246.882915019989,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,6,5,41,0,247.39579010009766,None,1,1.2204439640045166,247.39579010009766,None,248.74073910713196,None,249.7568211555481,250.11576104164124,249.7568211555481,250.11576104164124,248.74073910713196,None,248.74073910713196,None,248.74073910713196,None,1,True,6.852626800537109,689.9657249450684,left,251.31858801841736,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,7,0,42,0,251.846538066864,None,1,1.153472900390625,251.846538066864,None,253.12596607208252,None,254.11833214759827,254.46944403648376,254.11833214759827,254.46944403648376,253.12596607208252,None,253.12596607208252,None,253.12596607208252,None,1,True,374.8798370361328,924.8924255371094,left,256.33775901794434,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,stop,0,0,0,0,7,1,43,5,256.8694751262665,None,1,0.9363260269165039,256.8694751262665,None,257.8963701725006,None,258.902822971344,259.25050806999207,258.902822971344,259.25050806999207,257.8963701725006,None,257.8963701725006,None,257.8963701725006,None,0,True,285.0470542907715,701.7855644226074,right,260.7732071876526,None,550,550,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,7,2,44,0,261.27260518074036,None,1,0.8367650508880615,261.27260518074036,None,262.18457412719727,None,263.1798930168152,263.51572608947754,263.1798930168152,263.51572608947754,262.18457412719727,None,262.18457412719727,None,262.18457412719727,None,1,True,394.2239284515381,925.8368015289307,left,265.413104057312,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,stop,0,0,0,0,7,3,45,2,265.9223611354828,None,1,1.493743896484375,265.9223611354828,None,267.51652002334595,None,268.53708505630493,268.89098501205444,268.53708505630493,268.89098501205444,267.51652002334595,None,267.51652002334595,None,267.51652002334595,None,1,True,431.8656921386719,-1.0,-1,272.85211396217346,None,550,500,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,7,4,46,1,273.38279008865356,None,1,1.0309569835662842,273.38279008865356,None,274.55047702789307,None,275.5303499698639,275.88702917099,275.5303499698639,275.88702917099,274.55047702789307,None,274.55047702789307,None,274.55047702789307,None,1,True,368.38722229003906,984.0481281280518,left,277.77178406715393,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,7,5,47,0,278.2696461677551,None,1,1.1257290840148926,278.2696461677551,None,279.4805340766907,None,280.49618005752563,280.8378541469574,280.49618005752563,280.8378541469574,279.4805340766907,None,279.4805340766907,None,279.4805340766907,None,1,True,330.1687240600586,1035.6776714324951,left,282.72065711021423,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
left,go,0,0,0,0,8,0,48,0,283.23773097991943,None,1,0.8344199657440186,283.23773097991943,None,284.15236711502075,None,285.147341966629,285.49584007263184,285.147341966629,285.49584007263184,284.15236711502075,None,284.15236711502075,None,284.15236711502075,None,1,True,341.0377502441406,625.4687309265137,left,286.98795104026794,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
right,go,0,0,0,0,8,1,49,3,287.52273297309875,None,1,0.8796989917755127,287.52273297309875,None,288.4960401058197,None,289.5142831802368,289.8705041408539,289.5142831802368,289.8705041408539,288.4960401058197,None,288.4960401058197,None,288.4960401058197,None,1,True,380.13195991516113,837.9433155059814,right,291.60976815223694,None,-1,-1,pp_18,icub,clamp,2021_Dec_24_1018,exp,2021.2.3,59.968916791652426,
