Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,36.6175057888031,None,1,24.85576891899109,36.6175057888031,None,61.597986936569214,None,62.60122799873352,62.95169401168823,62.60122799873352,62.95169401168823,61.597986936569214,None,61.597986936569214,None,61.597986936569214,None,-1,-1,1,True,345.57461738586426,591.1924839019775,left,64.42774701118469,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,go,0,0,0,0,0,1,1,0,64.92978382110596,None,1,0.658668041229248,64.92978382110596,None,65.71698784828186,None,66.74945187568665,67.1063928604126,66.74945187568665,67.1063928604126,65.71698784828186,None,65.71698784828186,None,65.71698784828186,None,-1,-1,1,True,345.37649154663086,538.1035804748535,left,68.47983884811401,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,go,0,0,0,0,0,2,2,0,68.9943618774414,None,1,0.5409040451049805,68.9943618774414,None,69.65972685813904,None,70.67760300636292,71.03406286239624,70.67760300636292,71.03406286239624,69.65972685813904,None,69.65972685813904,None,69.65972685813904,None,-1,-1,1,True,458.2376480102539,559.6792697906494,left,72.56553792953491,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,go,0,0,0,0,0,3,3,0,73.07208681106567,None,1,0.44724106788635254,73.07208681106567,None,73.61259388923645,None,74.62761688232422,74.97735691070557,74.62761688232422,74.97735691070557,73.61259388923645,None,73.61259388923645,None,73.61259388923645,None,-1,-1,1,True,317.5690174102783,604.0036678314209,left,76.43052887916565,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
right,go,0,0,0,0,0,4,4,3,76.9316828250885,None,1,0.4327549934387207,76.9316828250885,None,77.47183990478516,None,78.46421599388123,78.82247686386108,78.46421599388123,78.82247686386108,77.47183990478516,None,77.47183990478516,None,77.47183990478516,None,-1,-1,1,True,168.7774658203125,405.3769111633301,right,79.92885899543762,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,go,0,0,0,0,0,5,5,1,80.43787479400635,None,1,0.5924789905548096,80.43787479400635,None,81.10552883148193,None,82.13017082214355,82.48416185379028,82.13017082214355,82.48416185379028,81.10552883148193,None,81.10552883148193,None,81.10552883148193,None,-1,-1,1,True,297.9774475097656,594.4929122924805,left,83.89721083641052,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,stop,0,0,0,0,1,0,6,2,84.42969584465027,None,1,0.37860107421875,84.42969584465027,None,84.90893197059631,None,85.94076085090637,86.28485798835754,85.94076085090637,86.28485798835754,84.90893197059631,None,84.90893197059631,None,84.90893197059631,None,,,0,False,-1.0,-1.0,-1,86.46105098724365,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
right,go,0,0,0,0,1,1,7,3,86.99041485786438,None,1,0.612375020980835,86.99041485786438,None,87.72536587715149,None,88.70482087135315,89.07041001319885,88.70482087135315,89.07041001319885,87.72536587715149,None,87.72536587715149,None,87.72536587715149,None,-1,-1,1,True,294.73042488098145,603.3046245574951,right,90.49580383300781,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
right,stop,0,0,0,0,1,2,8,5,91.00590491294861,None,1,0.540424108505249,91.00590491294861,None,91.66931891441345,None,92.68788385391235,93.03213381767273,92.68788385391235,93.03213381767273,91.66931891441345,None,91.66931891441345,None,91.66931891441345,None,500,500,0,True,230.98492622375488,582.0620059967041,right,94.37270998954773,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
left,stop,0,0,0,0,1,3,9,2,94.89493989944458,None,1,0.597383975982666,94.89493989944458,None,95.61998200416565,None,96.61536598205566,96.96807384490967,96.61536598205566,96.96807384490967,95.61998200416565,None,95.61998200416565,None,95.61998200416565,None,500,450,0,True,167.10448265075684,631.4809322357178,left,98.29044198989868,None,pp_19b,clamp,icub,2022_Jan_10_0924,exp,2021.2.3,59.96463000902121,
