Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,63.66674184799194,None,1,19.843902826309204,63.66674184799194,None,83.60371994972229,None,84.63823199272156,84.99899888038635,84.63823199272156,84.99899888038635,83.60371994972229,None,83.60371994972229,None,83.60371994972229,None,-1,-1,1,True,328.1395435333252,743.5750961303711,left,86.56619501113892,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
left,stop,0,0,0,0,0,1,1,2,87.08499503135681,None,1,0.6686320304870605,87.08499503135681,None,87.87230396270752,None,88.8685200214386,89.22757887840271,88.8685200214386,89.22757887840271,87.87230396270752,None,87.87230396270752,None,87.87230396270752,None,500,500,0,True,281.5983295440674,628.4897327423096,left,90.6700530052185,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
right,go,0,0,0,0,0,2,2,3,91.16820693016052,None,1,0.7743360996246338,91.16820693016052,None,92.02302885055542,None,93.04898190498352,93.40591883659363,93.04898190498352,93.40591883659363,92.02302885055542,None,92.02302885055542,None,92.02302885055542,None,-1,-1,1,True,528.0940532684326,602.196455001831,right,95.03049993515015,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
right,stop,0,0,0,0,0,3,3,5,95.52555894851685,None,1,0.3973569869995117,95.52555894851685,None,96.00834894180298,None,97.02970790863037,97.3778088092804,97.02970790863037,97.3778088092804,96.00834894180298,None,96.00834894180298,None,96.00834894180298,None,450,500,0,True,300.1360893249512,633.3034038543701,right,98.83684396743774,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
left,stop,0,0,0,0,0,4,4,2,99.34080100059509,None,1,0.42363905906677246,99.34080100059509,None,99.87682700157166,None,100.87549996376038,101.22726392745972,100.87549996376038,101.22726392745972,99.87682700157166,None,99.87682700157166,None,99.87682700157166,None,450,450,1,True,362.4072074890137,-1.0,-1,105.11852192878723,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
right,go,0,0,0,0,0,5,5,4,105.61225199699402,None,1,0.5630028247833252,105.61225199699402,None,106.2858579158783,None,107.2597279548645,107.61904501914978,107.2597279548645,107.61904501914978,106.2858579158783,None,106.2858579158783,None,106.2858579158783,None,-1,-1,1,True,326.5798091888428,679.8305511474609,right,109.15521192550659,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
left,go,0,0,0,0,1,0,6,1,109.68074083328247,None,1,0.2844889163970947,109.68074083328247,None,110.0932309627533,None,111.1114809513092,111.45793199539185,111.1114809513092,111.45793199539185,110.0932309627533,None,110.0932309627533,None,110.0932309627533,None,-1,-1,1,True,512.8657817840576,790.2393341064453,left,113.28285002708435,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
left,go,0,0,0,0,1,1,7,0,113.79217290878296,None,1,0.36364006996154785,113.79217290878296,None,114.2708728313446,None,115.29047584533691,115.63802480697632,115.29047584533691,115.63802480697632,114.2708728313446,None,114.2708728313446,None,114.2708728313446,None,-1,-1,1,True,289.2909049987793,666.015625,left,117.12285494804382,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
right,go,0,0,0,0,1,2,8,4,117.63359689712524,None,1,0.7248339653015137,117.63359689712524,None,118.48661303520203,None,119.51081490516663,119.85722088813782,119.51081490516663,119.85722088813782,118.48661303520203,None,118.48661303520203,None,118.48661303520203,None,-1,-1,1,True,469.4669246673584,631.828784942627,right,121.48394584655762,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
right,stop,0,0,0,0,1,3,9,5,121.99968981742859,None,1,0.40587401390075684,121.99968981742859,None,122.4860680103302,None,123.51556396484375,123.88588285446167,123.51556396484375,123.88588285446167,122.4860680103302,None,122.4860680103302,None,122.4860680103302,None,500,450,0,True,198.85897636413574,611.8614673614502,right,125.19010782241821,None,pp_21,clamp,icub,2022_Jan_10_1135,exp,2021.2.3,59.930443430276256,
