Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,44.25060701370239,None,1,1.7627270221710205,44.25060701370239,None,46.10826110839844,None,47.12916612625122,47.46484112739563,47.12916612625122,47.46484112739563,46.10826110839844,None,46.10826110839844,None,46.10826110839844,None,-1,-1,1,True,478.75499725341797,1096.4665412902832,right,49.57609701156616,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,0,1,1,1,50.0859169960022,None,1,1.331268072128296,50.0859169960022,None,51.497668981552124,None,52.51470398902893,52.87296199798584,52.51470398902893,52.87296199798584,51.497668981552124,None,51.497668981552124,None,51.497668981552124,None,-1,-1,1,True,363.25716972351074,701.3592720031738,left,54.461833000183105,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
right,stop,0,0,0,0,0,2,2,5,54.980624198913574,None,1,1.4889469146728516,54.980624198913574,None,56.571152210235596,None,57.60077714920044,57.95510506629944,57.60077714920044,57.95510506629944,56.571152210235596,None,56.571152210235596,None,56.571152210235596,None,500,500,0,True,422.8966236114502,754.5609474182129,right,59.64875912666321,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,0,3,3,0,60.157270193099976,None,1,1.107116937637329,60.157270193099976,None,61.378629207611084,None,62.3808159828186,62.74343514442444,62.3808159828186,62.74343514442444,61.378629207611084,None,61.378629207611084,None,61.378629207611084,None,-1,-1,1,True,495.4640865325928,713.2987976074219,left,64.48672199249268,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
right,stop,0,0,0,0,0,4,4,5,64.98886203765869,None,1,0.8430747985839844,64.98886203765869,None,65.96044707298279,None,66.98416900634766,67.32734799385071,66.98416900634766,67.32734799385071,65.96044707298279,None,65.96044707298279,None,65.96044707298279,None,500,450,0,True,336.1482620239258,830.1510810852051,right,69.01650500297546,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,0,5,5,0,69.53526997566223,None,1,0.8975429534912109,69.53526997566223,None,70.5084810256958,None,71.53381204605103,71.89714002609253,71.53381204605103,71.89714002609253,70.5084810256958,None,70.5084810256958,None,70.5084810256958,None,-1,-1,1,True,668.7929630279541,722.6285934448242,left,73.78440999984741,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,1,0,6,0,74.30395698547363,None,1,0.6620368957519531,74.30395698547363,None,75.08892512321472,None,76.08391904830933,76.42793917655945,76.08391904830933,76.42793917655945,75.08892512321472,None,75.08892512321472,None,75.08892512321472,None,-1,-1,1,True,422.6574897766113,699.6972560882568,left,78.11668419837952,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,1,1,7,0,78.61858606338501,None,1,0.7252688407897949,78.61858606338501,None,79.45950508117676,None,80.47738313674927,80.81880497932434,80.47738313674927,80.81880497932434,79.45950508117676,None,79.45950508117676,None,79.45950508117676,None,-1,-1,1,True,282.4513912200928,634.5293521881104,left,82.26643514633179,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,go,0,0,0,0,1,2,8,0,82.77708101272583,None,1,0.7889358997344971,82.77708101272583,None,83.68893718719482,None,84.69738912582397,85.03353118896484,84.69738912582397,85.03353118896484,83.68893718719482,None,83.68893718719482,None,83.68893718719482,None,-1,-1,1,True,396.59833908081055,664.3354892730713,left,86.64470100402832,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
left,stop,0,0,0,0,1,3,9,2,87.17585706710815,None,1,0.6449790000915527,87.17585706710815,None,87.90439009666443,None,88.91018605232239,89.25990605354309,88.91018605232239,89.25990605354309,87.90439009666443,None,87.90439009666443,None,87.90439009666443,None,500,400,0,True,504.8823356628418,632.976770401001,left,90.92879605293274,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
right,go,0,0,0,0,1,4,10,4,91.4449691772461,None,1,0.6703310012817383,91.4449691772461,None,92.22180509567261,None,93.23894619941711,93.57782912254333,93.23894619941711,93.57782912254333,92.22180509567261,None,92.22180509567261,None,92.22180509567261,None,-1,-1,1,True,425.61912536621094,696.8257427215576,right,95.23567914962769,None,pp_04_1,icub,clamp,2021_Dec_21_1241,exp,2021.2.3,59.92873084319928,
