Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,44.78366708755493,None,1,23.432878971099854,44.78366708755493,None,68.33230495452881,None,None,None,None,None,68.33230495452881,None,68.33230495452881,None,68.33230495452881,None,0,False,-1.0,-1.0,-1,69.19179105758667,None,,,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
left,go,0,0,0,0,0,1,1,1,69.7172019481659,None,1,0.8527259826660156,69.7172019481659,None,70.69970297813416,None,71.67778897285461,72.04986715316772,71.67778897285461,72.04986715316772,70.69970297813416,None,70.69970297813416,None,70.69970297813416,None,1,True,445.0864791870117,719.3007469177246,left,73.74180912971497,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
right,go,0,0,0,0,0,2,2,3,74.2584080696106,None,1,0.8757309913635254,74.2584080696106,None,75.23507714271545,None,76.22871613502502,76.58790898323059,76.22871613502502,76.58790898323059,75.23507714271545,None,75.23507714271545,None,75.23507714271545,None,1,True,488.6462688446045,670.1350212097168,right,78.2765200138092,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
left,stop,0,0,0,0,0,3,3,2,78.78155207633972,None,1,0.8035621643066406,78.78155207633972,None,79.68987512588501,None,80.69236612319946,81.02934503555298,80.69236612319946,81.02934503555298,79.68987512588501,None,79.68987512588501,None,79.68987512588501,None,1,True,572.9379653930664,-1.0,-1,85.16015315055847,None,500,500,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
right,go,0,0,0,0,0,4,4,4,85.6902379989624,None,1,0.5446441173553467,85.6902379989624,None,86.3654670715332,None,87.34577202796936,87.68171095848083,87.34577202796936,87.68171095848083,86.3654670715332,None,86.3654670715332,None,86.3654670715332,None,1,True,464.71524238586426,802.4642467498779,right,89.52165293693542,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
left,go,0,0,0,0,0,5,5,0,90.03494095802307,None,1,0.7723109722137451,90.03494095802307,None,90.88745403289795,None,91.8691520690918,92.2363350391388,91.8691520690918,92.2363350391388,90.88745403289795,None,90.88745403289795,None,90.88745403289795,None,1,True,676.8856048583984,711.749792098999,left,94.16182112693787,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
right,go,0,0,0,0,1,0,6,3,94.677011013031,None,1,0.8394150733947754,94.677011013031,None,95.64908695220947,None,96.68493103981018,97.02745914459229,96.68493103981018,97.02745914459229,95.64908695220947,None,95.64908695220947,None,95.64908695220947,None,1,True,373.81815910339355,727.1933555603027,right,98.65553092956543,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
right,stop,0,0,0,0,1,1,7,5,99.1616039276123,None,1,0.9946348667144775,99.1616039276123,None,100.26198410987854,None,101.26174902915955,101.62255311012268,101.26174902915955,101.62255311012268,100.26198410987854,None,100.26198410987854,None,100.26198410987854,None,1,True,449.0926265716553,-1.0,-1,105.59537315368652,None,550,500,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
right,stop,0,0,0,0,1,2,8,5,106.12406301498413,None,1,0.7437138557434082,106.12406301498413,None,106.98060703277588,None,107.96052694320679,108.28691411018372,107.96052694320679,108.28691411018372,106.98060703277588,None,106.98060703277588,None,106.98060703277588,None,0,True,299.29351806640625,707.0872783660889,right,109.86089611053467,None,550,550,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
left,go,0,0,0,0,1,3,9,0,110.37778210639954,None,1,1.4803409576416016,110.37778210639954,None,111.96595501899719,None,113.00264000892639,113.36529397964478,113.00264000892639,113.36529397964478,111.96595501899719,None,111.96595501899719,None,111.96595501899719,None,1,True,506.8933963775635,879.3075084686279,left,115.24470210075378,None,-1,-1,pilot1,icub,clamp,2021_Dec_20_1120,exp,2021.2.3,60.03372179235048,
