Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,stop,0,0,0,0,0,0,0,2,18.79316997528076,None,1,53.95526099205017,18.79316997528076,None,72.86015701293945,None,73.89251112937927,74.24733400344849,73.89251112937927,74.24733400344849,72.86015701293945,None,72.86015701293945,None,72.86015701293945,None,500,500,1,True,264.1751766204834,-1.0,-1,78.01114797592163,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,stop,0,0,0,0,0,1,1,5,78.5033130645752,None,1,0.6876270771026611,78.5033130645752,None,79.29955005645752,None,80.27638101577759,80.64730596542358,80.27638101577759,80.64730596542358,79.29955005645752,None,79.29955005645752,None,79.29955005645752,None,550,500,1,True,293.0476665496826,-1.0,-1,84.46838617324829,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,0,2,2,2,85.00069212913513,None,1,0.6671841144561768,85.00069212913513,None,85.79657816886902,None,86.82537698745728,87.18612313270569,86.82537698745728,87.18612313270569,85.79657816886902,None,85.79657816886902,None,85.79657816886902,None,550,550,1,True,269.8218822479248,-1.0,-1,90.94269394874573,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,0,3,3,3,91.47261810302734,None,1,0.6432380676269531,91.47261810302734,None,92.20702695846558,None,93.17966103553772,93.5246651172638,93.17966103553772,93.5246651172638,92.20702695846558,None,92.20702695846558,None,92.20702695846558,None,-1,-1,1,True,536.2489223480225,1122.6227283477783,right,95.74520015716553,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,0,4,4,1,96.26390504837036,None,1,0.6241660118103027,96.26390504837036,None,96.99400997161865,None,97.99844598770142,98.3527410030365,97.99844598770142,98.3527410030365,96.99400997161865,None,96.99400997161865,None,96.99400997161865,None,-1,-1,1,True,279.0944576263428,1145.822286605835,left,100.29725217819214,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,stop,0,0,0,0,0,5,5,5,100.83293914794922,None,1,0.5666890144348145,100.83293914794922,None,101.49992108345032,None,102.50520205497742,102.8747730255127,102.50520205497742,102.8747730255127,101.49992108345032,None,101.49992108345032,None,101.49992108345032,None,600,550,1,True,381.2599182128906,-1.0,-1,106.78348898887634,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,1,0,6,1,107.31339406967163,None,1,0.6123731136322021,107.31339406967163,None,108.04781007766724,None,109.06800103187561,109.40840005874634,109.06800103187561,109.40840005874634,108.04781007766724,None,108.04781007766724,None,108.04781007766724,None,-1,-1,1,True,273.29039573669434,1098.1090068817139,left,111.30894112586975,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,stop,0,0,0,0,1,1,7,5,111.81179714202881,None,1,0.6726880073547363,111.81179714202881,None,112.59988117218018,None,113.61961913108826,113.97815704345703,113.61961913108826,113.97815704345703,112.59988117218018,None,112.59988117218018,None,112.59988117218018,None,600,600,1,True,286.7922782897949,-1.0,-1,117.7946629524231,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,stop,0,0,0,0,1,2,8,5,118.32551908493042,None,1,0.3911309242248535,118.32551908493042,None,118.8131639957428,None,119.78398609161377,120.13768100738525,119.78398609161377,120.13768100738525,118.8131639957428,None,118.8131639957428,None,118.8131639957428,None,,,0,False,-1.0,-1.0,-1,120.32803297042847,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,1,3,9,2,120.85816597938538,None,1,1.1125829219818115,120.85816597938538,None,122.08744406700134,None,123.08684301376343,123.43865513801575,123.08684301376343,123.43865513801575,122.08744406700134,None,122.08744406700134,None,122.08744406700134,None,600,650,1,True,323.7473964691162,-1.0,-1,127.28885912895203,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,1,4,10,2,127.78171801567078,None,1,0.44689512252807617,127.78171801567078,None,128.33171105384827,None,129.30590915679932,129.66599297523499,129.30590915679932,129.66599297523499,128.33171105384827,None,128.33171105384827,None,128.33171105384827,None,650,650,1,True,289.9200916290283,-1.0,-1,133.48889112472534,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,1,5,11,3,134.02091312408447,None,1,0.33771300315856934,134.02091312408447,None,134.44735503196716,None,135.42514610290527,135.79233503341675,135.42514610290527,135.79233503341675,134.44735503196716,None,134.44735503196716,None,134.44735503196716,None,-1,-1,1,True,269.390344619751,1199.0675926208496,right,137.79047417640686,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,stop,0,0,0,0,2,0,12,5,138.298269033432,None,1,0.6447811126708984,138.298269033432,None,139.07638812065125,None,140.10932898521423,140.4631221294403,140.10932898521423,140.4631221294403,139.07638812065125,None,139.07638812065125,None,139.07638812065125,None,700,650,1,True,193.38107109069824,-1.0,-1,144.14229011535645,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,2,1,13,4,144.67274713516235,None,1,0.46387505531311035,144.67274713516235,None,145.2226710319519,None,146.224956035614,146.54874205589294,146.224956035614,146.54874205589294,145.2226710319519,None,145.2226710319519,None,145.2226710319519,None,-1,-1,1,True,252.33793258666992,1195.708990097046,right,148.56252002716064,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,2,2,14,1,149.07273817062378,None,1,0.6214349269866943,149.07273817062378,None,149.80104804039001,None,150.82176113128662,151.14922308921814,150.82176113128662,151.14922308921814,149.80104804039001,None,149.80104804039001,None,149.80104804039001,None,-1,-1,1,True,266.12067222595215,1196.8879699707031,left,153.13837814331055,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,2,3,15,1,153.65126514434814,None,1,0.5467820167541504,153.65126514434814,None,154.31889510154724,None,155.34691715240479,155.69431805610657,155.34691715240479,155.69431805610657,154.31889510154724,None,154.31889510154724,None,154.31889510154724,None,-1,-1,1,True,360.11242866516113,1592.2105312347412,left,158.16943216323853,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,2,4,16,3,158.67382502555847,None,1,0.47617101669311523,158.67382502555847,None,159.27196097373962,None,160.28441405296326,160.63913202285767,160.28441405296326,160.63913202285767,159.27196097373962,None,159.27196097373962,None,159.27196097373962,None,-1,-1,1,True,272.3696231842041,1175.7457256317139,right,162.6166980266571,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,2,5,17,0,163.13240909576416,None,1,0.7365579605102539,163.13240909576416,None,163.9841411113739,None,165.01125717163086,165.34609818458557,165.01125717163086,165.34609818458557,163.9841411113739,None,163.9841411113739,None,163.9841411113739,None,-1,-1,1,True,283.9996814727783,1278.3243656158447,left,167.43177604675293,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,3,0,18,2,167.93254613876343,None,1,0.4555211067199707,167.93254613876343,None,168.4785521030426,None,169.50829696655273,169.8653600215912,169.50829696655273,169.8653600215912,168.4785521030426,None,168.4785521030426,None,168.4785521030426,None,700,700,1,True,364.03536796569824,-1.0,-1,173.71061396598816,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,3,1,19,0,174.2416000366211,None,1,0.47095584869384766,174.2416000366211,None,174.79140496253967,None,175.76654696464539,176.1099271774292,175.76654696464539,176.1099271774292,174.79140496253967,None,174.79140496253967,None,174.79140496253967,None,-1,-1,1,True,199.74565505981445,1296.114444732666,left,178.17535305023193,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,3,2,20,0,178.68064904212952,None,1,0.8692288398742676,178.68064904212952,None,179.65607810020447,None,180.68860912322998,181.03914499282837,180.68860912322998,181.03914499282837,179.65607810020447,None,179.65607810020447,None,179.65607810020447,None,-1,-1,1,True,299.4372844696045,1232.2306632995605,left,183.09541702270508,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,3,3,21,1,183.62934398651123,None,1,0.48044896125793457,183.62934398651123,None,184.2332410812378,None,185.25965404510498,185.62763094902039,185.25965404510498,185.62763094902039,184.2332410812378,None,184.2332410812378,None,184.2332410812378,None,-1,-1,1,True,338.49191665649414,1369.999647140503,left,187.8167061805725,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,3,4,22,1,188.31911706924438,None,1,0.5407319068908691,188.31911706924438,None,188.98381304740906,None,190.00963497161865,190.3603711128235,190.00963497161865,190.3603711128235,188.98381304740906,None,188.98381304740906,None,188.98381304740906,None,-1,-1,1,True,329.50568199157715,1367.8500652313232,left,192.57370805740356,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,3,5,23,4,193.08994507789612,None,1,0.4358952045440674,193.08994507789612,None,193.63064217567444,None,194.65947103500366,194.9824981689453,194.65947103500366,194.9824981689453,193.63064217567444,None,193.63064217567444,None,193.63064217567444,None,-1,-1,1,True,269.3614959716797,1383.6476802825928,right,197.19055199623108,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,4,0,24,4,197.71074509620667,None,1,0.5871589183807373,197.71074509620667,None,198.37811708450317,None,199.38340616226196,199.74343609809875,199.38340616226196,199.74343609809875,198.37811708450317,None,198.37811708450317,None,198.37811708450317,None,-1,-1,1,True,59.70621109008789,1387.113332748413,right,201.71919798851013,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,4,1,25,2,202.24473905563354,None,1,0.47702908515930176,202.24473905563354,None,202.84444499015808,None,203.83829808235168,204.18379402160645,203.83829808235168,204.18379402160645,202.84444499015808,None,202.84444499015808,None,202.84444499015808,None,750,700,1,True,324.54633712768555,-1.0,-1,208.06227016448975,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,4,2,26,3,208.59503698349,None,1,0.2943308353424072,208.59503698349,None,209.02187299728394,None,210.02601313591003,210.38015413284302,210.02601313591003,210.38015413284302,209.02187299728394,None,209.02187299728394,None,209.02187299728394,None,-1,-1,1,True,306.22410774230957,1311.173677444458,right,212.52715396881104,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,4,3,27,3,213.03151607513428,None,1,0.47753119468688965,213.03151607513428,None,213.63186812400818,None,214.65321516990662,215.00588417053223,214.65321516990662,215.00588417053223,213.63186812400818,None,213.63186812400818,None,213.63186812400818,None,-1,-1,1,True,250.19001960754395,1709.280252456665,right,217.48792505264282,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,go,0,0,0,0,4,4,28,0,217.99360513687134,None,1,0.5767879486083984,217.99360513687134,None,218.66127705574036,None,219.6635320186615,220.01376008987427,219.6635320186615,220.01376008987427,218.66127705574036,None,218.66127705574036,None,218.66127705574036,None,-1,-1,1,True,327.61073112487793,1551.975965499878,left,222.41893601417542,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
left,stop,0,0,0,0,4,5,29,2,222.93127012252808,None,1,0.5446059703826904,222.93127012252808,None,223.59397912025452,None,224.61066699028015,224.9588921070099,224.61066699028015,224.9588921070099,223.59397912025452,None,223.59397912025452,None,223.59397912025452,None,800,700,1,True,328.68051528930664,-1.0,-1,228.80948400497437,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,5,0,30,4,229.3401300907135,None,1,0.46609997749328613,229.3401300907135,None,229.89053797721863,None,230.90121817588806,231.24081301689148,230.90121817588806,231.24081301689148,229.89053797721863,None,229.89053797721863,None,229.89053797721863,None,-1,-1,1,True,316.12539291381836,917.905330657959,right,232.99299502372742,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,5,1,31,4,233.4991090297699,None,1,0.6539969444274902,233.4991090297699,None,234.2865331172943,None,235.29977107048035,235.65350103378296,235.29977107048035,235.65350103378296,234.2865331172943,None,234.2865331172943,None,234.2865331172943,None,-1,-1,1,True,384.89270210266113,1369.1442012786865,right,237.9252691268921,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
right,go,0,0,0,0,5,2,32,4,238.43983817100525,None,1,0.6270771026611328,238.43983817100525,None,239.1662631034851,None,240.1712839603424,240.51913404464722,240.1712839603424,240.51913404464722,239.1662631034851,None,239.1662631034851,None,239.1662631034851,None,-1,-1,1,True,282.25135803222656,1572.3657608032227,right,242.8975169658661,None,pilot2,icub,clamp,2021_Dec_20_1209,exp,2021.2.3,59.930100905030386,
